Unnamed: 0,title,text,label
7614,Globalization Expressway to Universal Slavery,"If humans were largely moral and ethical beings, then globalization could be a workable proposition. Unfortunately, the dark behavioral narcissism expressed by compulsive greed and an infinite appetite for power seems to have become the guiding precept of our collective nightmare. If only the desire to dominate others and have a lot more than them were not the prime motivations for the global elite on top of the human food chain, we could all have our respective modest slice of happiness on this planet. The Utopia of globalization through institutions such as the United Nations (UN), World Bank , and International Monetary Fund (IMF) was supposed to eradicate the universal pestilence of war, extreme poverty , hunger and slavery using the might of the above supranational institutions to prevent the rise of so-called rogue nations usually ruled by dictators.
World order of chaos with misery for profit
The opportunity of this push for a supranational form of government has to be understood in the psychological context of a world traumatized by World War II. Many public servants, who had fought against the Nazis and their Japanese and Italian allies, had genuinely the best intentions at heart when institutions like the UN were set up. If some of the original ideas were good and moral to some extend, a rot almost immediately contaminated and perverted most of the created institutions and quickly — using the pretext of the Cold War — allowed the birth of a monstrosity such as the North Atlantic Treaty Organization ( NATO ). The globalists have controlled and ultimately Wall Street has financed, supranational government instances such as the UN, IMF, World Bank and a myriad of non-governmental organization (NGO) little helpers. Not only have these done nothing to curtail the man-made disasters of war, climate change , slavery and poverty, but they have exacerbated them, all for the sake of profit.
In this Orwellian time of moral decay, human misery is good for business. In a globalization controlled by Wall Street’s puppeteer sociopaths, who believe they are the masters of the universe, ordinary people everywhere have become canon fodder and slave labor. They are not even collateral damage but human lubricant, as viewed by the elite. One can see that if they are not stopped immediately, trade agreements like the Trans-Pacific Partnership (TPP) and its Trans-Atlantic counterpart could seal the deal of the establishment of an atrocious world government, controlled by a few thousands, in complete disregard of not only national interest, but also cultural diversity.
Look what happened to Detroit, Michigan, and countless other manufacturing towns in the United States that are all collateral damage of Bill Clinton’s North American Free Trade Agreement (NAFTA). The massive trade agreements in the works, to be put in place by the globalists if they remain in power, are intended to annihilate any form of economic or political independence from the signatory countries and to scatter their populations to the wind, as in the case in the globalist-controlled demolition of the Middle East in Iraq, Libya and Syria. Displaced and disenfranchised populations are beaten into submission and used as docile worker bees.
Drastic action or hell on earth
If we let the globalists complete their worldwide coup already in progress, then all sovereignty would be lost, and most of the world’s population would become slave-wage laborers at the mercy of the global corporate empire. Countries with a diversified agriculture would be turned into one-crop wastelands to ensure that most of the food supply has to be imported. Pseudo local governments would merely officiate as the slave drivers for the global elite. This must be stopped at all cost and undone by all means necessary. If we allow this final coup by the geriatric psychopaths at the top of the current world order, thousands of years of our rich human experience would be wiped out. Like poorly made cheap electronic products, the cultural garbage of the lowest common denominator empire would flood the world. This cultural homogenization would affect primarily the information available to people. Since dissent is impossible without correct information and critical thought, the globalists want their propaganda to become the only source of information. With the UN, the World Bank and the IMF, the political and economic framework financed by a worldwide network of banksters is already in place. Influential nations, on paper, like France and the United Kingdom, which are still officially full fledged members of the UN Security Council, have de facto abdicated their sovereignty to become vassals and secondary enforcers of the globalist plan. We are at the edge of an existential threat of greater magnitude than ever before in human history.
The semantics of deception
Machiavelli is known for his cynical view of political power; however, the advice the author of The Prince gave to the powerful of his time seems innocent by comparison to the depravity of today’s puppet masters. Words and ideas are gutted of their meaning to signify, most of the time, the exact opposite. For example, globalist eminence grise George Soros’ Open Society Foundation is an opaque giant NGO, with more than 100 offshoots worldwide by its own admission, but its tentacles are in reality more far reaching. The recent publications of Wikileaks in the voluminous Podesta email files have been a revelation of the extent of deception victimizing United States citizens. John Podesta may be viewed as a Soros right-hand man in the US in charge of delivering the returns for the globalist’s investments in the US elections. The connection between the two men is not only obvious but also official considering that Soros financed Podesta’s so-called Center for American Progress, the fake left equivalent of the neocon think tanks. The term progress is a lure that signifies power, just like Soros’ open society is, in reality, an exclusive club as tight as oysters reserved only for Soros’ chosen associates to savor. What is apparent from the email treasure trove is that Podesta’s job is really to supervise Hillary Clinton on behalf of Soros. In this context, the expression, leader of the free world, to describe the US president becomes a lie. The current world order of the globalists is anything but free, and one applicant for the job, Hillary Clinton, is not a queen on the chessboard, but a pawn.
Axis of resistance: Russia, China and Iran and lessons from Haiti’s revolution
One could ask: isn’t this psychopathic globalist coup of financiers well on its way? Isn’t it a done deal, and how can we resist and salvage anything? The examples of Russia, China and Iran prove that, as national entities, we still can. Germany, Japan and South Korea could reclaim their independence and kick out their US occupation. France and the UK could stop being submissive nations and get out of NATO. That would be a start. The path of war rhetoric expressed by the globalist mouthpieces of the West against Russia, Iran and, to a lesser extent, China has to do with the national resistance of these three countries. The citizenry of Europe and North America should understand, that if such unprecedented conflicts occur, all countries will be on the front line, and there is more than enough fire power on each side to ensure massive destruction and no winning side. Russia, China and Iran are the last national obstacles to the globalist coup, and perhaps we are heading back to a bipolar two-block world order similar to the Cold War era. Other options, including the dismantlement, or at least the curtailment, of supranational organizations such as the UN, World Bank and IMF would surely be the side effects of what appears to be in many countries a revival of nationalism. The final plan of the globalists would be atrocious for all of us. Waving the white flag is not an option. At this critical time of our history, and before our collective enslavement, we should all emulate the brave Haitian slaves who beat not one, but three empires 212 years ago. Haitians were only the last ones to prove that it can be done; it must be redone.
 Gilbert Mercier is the editor in chief of News Junkie Post and the author of The Orwellian Empire .",FAKE
5108,The Awkward Arranged Marriage of Trump and Pence,"After a two-day botched rollout of his grand vice-presidential reveal, Donald Trump barely shared a stage with Mike Pence on Saturday morning.

On Saturday morning, in the Hilton hotel in midtown Manhattan, The Rolling Stones’ “You Can’t Always Get What You Want” reverberated in the hall, symbolically announcing the new union of Donald Trump and his veep pick, Indiana Governor Mike Pence.



After a whirlwind 48 hours in which the news of Pence’s pick leaked, and Trump reportedly waffled on the choice so much that he was making midnight calls on Thursday night to try to find an escape hatch, the two men—opposites in most qualitative respects—briefly shared the limelight behind a podium emblazoned only with Trump’s name.

As the Indiana governor looked on from the side of the stage, the presumptive Republican nominee devoted much of his address to bashing “Crooked Hillary” Clinton and weighing in on recent global conflicts, including the attempted military coup in Turkey on Friday.

""Great people, amazing people,” Trump said of the Turks, switching back and forth from prepared remarks to his usual riffing. “We wish them well. A lot of anguish last night but hopefully it'll all work out.”

A day after the Trump campaign scrapped the initial scheduled rollout for his vice presidential pick—which was ultimately unceremoniously announced on Twitter—they quickly pulled together an event at the same location where Ronald Reagan announced his 1980 presidential bid, with all the pomp and circumstance of a man meeting a mail-order spouse.

“Indiana Governor Mike Pence was my first choice,” Trump said despite the fact that he reportedly struggled to choose between an establishment-pleasing pick (pushed by campaign chairman Paul Manafort) and two men with whom he’s had better rapport: Newt Gingrich and New Jersey Governor Chris Christie.

Much of Saturday’s speech, a rollout that was accompanied by a website redesign to include Pence’s face and a new logo—replacing a suggestive image that was mocked on social media on Friday—sounded like any other Trump address.

“Hillary Clinton is the embodiment of corruption,” Trump said before suggesting that “she got away with murder” for not being charged after an investigation into her use of a private email server. He dropped typically braggadocious lines like “I was the one that predicted it,” in reference to Brexit, before seemingly remembering that Pence was supposed to be the man of the hour.

“Back to Mike Pence,” he’d interject before beginning to discuss his success in the Republican primary again (“I dominated with evangelicals”). Trump conceded that one of the reasons Pence was selected was for “party unity” before adding “he looks really good.”

When he finally called Pence to the stage, the two men shared a brief handshake before Trump waltzed off and gave the governor the floor—choosing not to stand beside him for a visual representation of the Republican ticket.

“I’m a Christian, a conservative and a Republican in that order,” Pence said to applause in the room. The Indiana governor’s address and policy positions—which include much more conservative opinions on LGBT rights and abortion—were intended to assuage on-the-fence Republicans who can’t fathom a former reality television star being the standard-bearer of their party.

He told the crowd that Trump had called him with the decision on Wednesday night, which runs counter to the narrative Trump himself presented to the media in various interviews on Thursday, during which time he proclaimed he hadn’t made his “final, final decision.”

The tenuous relationship of the two men has developed over the past two months since Pence made a less-than-enthusiastic endorsement of Senator Ted Cruz ahead of the Indiana primary (today, Trump said that endorsement was essentially one for him).

Their policy differences have played out on Trump’s favorite form of social media, with the Indiana governor tweeting his support of the Trans Pacific Partnership in 2014, something that the real estate mogul is adamantly against.

In December 2015, Pence tweeted: “Calls to ban Muslims from entering the U.S. are offensive and unconstitutional,” in response to an initial proposal from Trump that the United States place a temporary ban on Muslims coming to the country after the attack in San Bernardino.

But on Friday during his first interview as Trump’s vice presidential pick, Pence told Sean Hannity that he is “very supportive of Donald Trump's call to temporarily suspend immigration from countries where terrorist influence and impact represents a threat to the United States,"" a more recent iteration of the proposed ban.

Before the two men appear together once again at the Republican National Convention in Cleveland next week, the governor is returning to Zionsville, Indiana on Saturday for what is billed as a “Welcome Home Rally” according to the Trump campaign.",REAL
7060,Now Malaysia Dumps US for Chinese Naval Vessels,"Now Malaysia Dumps US for Chinese Naval Vessels October 28, 2016 Now Malaysia Dumps US for Chinese Naval Vessels 
Malaysia will sign a contract to purchase Littoral Mission Ships from China when Prime Minister Najib Razak visits Beijing next week, according to a Facebook posting by the country's Ministry of Defence. Malaysia follows the Philippines in this regional shift from the United States to China The text of a speech to be delivered by Malaysian defense minister Hishammuddin Hussein was posted on Facebook on Tuesday The statement was later removed after media asked a defense ministry spokesman for comment. The purchase of the patrol vessels, if it proceeds, would be Malaysia's first significant defense deal with China and comes amid rising tensions in the South China Sea and as the United States and China compete for influence in the region. Article by Doc Burkhart , Vice-President, General Manager and co-host of TRUNEWS with Rick Wiles Got a news tip? Email us at Help support the ministry of TRUNEWS with your one-time or monthly gift of financial support. DONATE NOW ! DOWNLOAD THE TRUNEWS MOBILE APP! CLICK HERE! Donate Today! Support TRUNEWS to help build a global news network that provides a credible source for world news 
We believe Christians need and deserve their own global news network to keep the worldwide Church informed, and to offer Christians a positive alternative to the anti-Christian bigotry of the mainstream news media Top Stories",FAKE
7056,New NASA Footage Films UFO Flying Past,"New NASA Footage Films UFO Flying Past page: 1 link Here the video shows a very odd craft zooming past. It looks to be very direct on its movement and shows no sign of being as NASA love to use ''debris'' flying by. It is on its own and on its own path. Be nice to see what others think about this footage I have no idea whether this is coming from NASA hardware or not. It states on the video also 2016, I presume this is new. It would seem we are being visited all the time, by our visitors. Star people, ET's. edit on 27-10-2016 by BlackProject because: (no reason given)",FAKE
6045,On Being Aloof and Democratic,"Behind the headlines - conspiracies, cover-ups, ancient mysteries and more. Real news and perspectives that you won't find in the mainstream media. Browse: Home / On Being Aloof and Democratic Essential Reading They Live By wmw_admin on August 19, 2012 
Considered by some as prophetic, many will find eerie echoes of present day concerns in John Carpenters 24-year-old ‘They Live’. View the cult classic here The Essene Gospel of Peace II By wmw_admin on April 26, 2007 
Translated by Purcell Weaver and Edmond Szekely from its original Aramiac, a language that today few know but 2000 years ago was the language that Christ spoke and taught with Bloody Bill Clinton – American Caligula By wmw_admin on September 1, 2006 
The real legacy of Clinton’s term of office: the chilling body count of those connected with him, who died in unusual or suspicious circumstances Hellstorm – Exposing The Real Genocide of Nazi Germany (Full Documentary) By wmw_admin on May 10, 2015 
What happened in the aftermath of World War II has been one of the darkest and best kept secrets in world history. Greg Palast is Related to Mossad Chief David Kimche By Christopher Bollyn on October 23, 2013 
Greg Palast may well be a Mossad disinfo agent. Christopher Bollyn provides the hard documentary evidence to prove it runs in his family The Life of an American Jew in Racist Marxist Israel Part II By wmw_admin on October 27, 2006 
Written nearly twenty years ago, Jack Bernstein’s words now have a prophetic ring which he paid for with his life Who Really Murdered Holly Wells and Jessica Chapman? By wmw_admin on February 28, 2015 
Revelations that a US soldier was the killer would have jeopardised public support for the “War on Terror”. Hence a frame-up was required. A Joe Vialls classic recovered. 9/11 and Zion: What Was Israel’s Role? By Nick Kollerstrom on August 31, 2012 
When Netanyahu said the very next day, ‘This is very good for Israel”, he wasn’t just blurting out something indiscreet, he was publicly congratulating the various agents who had worked so hard",FAKE
8379,Ballot stuffing by fat obese feminazis,"Ballot stuffing by fat obese feminazis Caught on tape in Pennsylvania, Arizona and Illinois Re: Ballot stuffing by fat obese feminazis Disgraceful. Democracy in this country is a fucking joke. Page 1 & ""GLP"" are registered trademarks of Zero Point Ltd. Godlike™ Website Design Copyright 1999 - 2015 Godlikeproductions.com Page generated in 0.006s (7 queries)",FAKE
1795,What advantages does Marco Rubio have?,"Every GOP presidential candidate, most especially those in a crowded field with lots of solid contenders, needs to answer a single question: Why me and not one of the 20 or so other hopefuls who are running? This is the second in our series looking at the unique qualifications and arguments for the 2016 GOP presidential hopefuls. Last week we looked at Wisconsin Gov. Scott Walker. Today we turn to Sen. Marco Rubio (R-Fla.).

Like President Obama was, Rubio is a first-term senator with great rhetorical skills. That however is where the comparison ends. The argument for his candidacy can be boiled down to 10 points.

1. Unlike Obama, Rubio has a specific message that is more than “hope and change.” He is a more adept salesman for the reform agenda than, say, Rep. Paul Ryan (R-Wis.) (“Ryan and Rubio are like-minded legislators who approach problems from a similar ideological perspective. The difference, they say, is that Rubio possesses the political skill to accomplish what Ryan has not: taking conservative reforms outside the halls of Congress and selling them to a national electorate.”)

2. He is unmistakably the face of a new generation of Republicans, perfectly designed to take on the Social Security-eligible Hillary Clinton.

3. Rubio is better able than any other contender to attack Clinton where she is weakest, namely on her foreign-policy record. He understands how and where she and the president failed and can articulate a hard-nosed alternative vision of U.S. leadership. Unlike other freshman senators vying for the nomination, he has consistently been on the right side of tough anti-terrorism measures (e.g., support for the NSA, willing to commit whatever force is needed to defeat the Islamic state). His knowledge of foreign policy issues and ability to outmaneuver opponents of a robust foreign policy was on display at a recent Koch brothers’ event when he slapped down Sen. Rand Paul (R-Fla.).

4. He is no novice in politics. He was elected to the Florida state house in 1999 and to the speakership in 2003. Among other things, he helped lead a property tax overhaul.

5. It will be hard to pass him on the right. He has an 89 percent lifetime conservative rating from Heritage Action and near-perfect ratings from other conservative groups.

6. With the exception of Jeb Bush, he is the only fluent Spanish speaker who can reach the Hispanic audience without a filter and who  can converse directly with Spanish-language media.

7.  He has a compelling immigrant story and the ability to identify with working people. At the 2012 RNC convention, he told the crowd:

My dad was a bartender. My mom was a cashier, a maid and a stock clerk at K-Mart. They never made it big. They were never rich. And yet they were successful. Because just a few decades removed from hopelessness, they made possible for us all the things that had been impossible for them. Many nights I heard my father’s keys jingling at the door as he came home after another 16-hour day. Many mornings, I woke up just as my mother got home from the overnight shift at K-Mart When you’re young, the meaning of moments like these escapes you. But now, as my own children get older, I understand it better. My Dad used to tell us: “En este pais, ustedes van a poder lograr todas las cosas que nosotros no pudimos” “In this country, you will be able to accomplish all the things we never could.” A few years ago during a speech, I noticed a bartender behind a portable bar at the back of the ballroom. I remembered my father who had worked for many years as a banquet bartender. He was grateful for the work he had, but that’s not the life he wanted for us. He stood behind a bar in the back of the room all those years, so one day I could stand behind a podium in the front of a room.

8. While supporting the traditional definition of marriage, he does not sound like a zealot or Constitutional know-nothing. “I wouldn’t agree with [the Supreme Court] ruling, but that would be the law of the land that we would have to follow until it’s somehow reversed — either by a future Supreme Court, or a U.S. constitutional amendment, which I don’t think is realistic or foreseeable.”

9. He is entirely at ease with the mainstream media as well as with conservative outlets, and he is adept at using self-deprecating humor.

10. Compared with other GOP contenders, Rubio tends to do well with women voters.",REAL
9975,Video: We Now Have Proof Obamacare Was Designed to Fail… and Here’s Why,"
The oligarchy runs our society with Problem – Reaction – Solution.
We all knew our government was disgustingly corrupt… but now it’s blatantly in-your-face written proof disgustingly corrupt at a time when most of us didn’t think it could get much worse.

If anything, these leaks have proven beyond a shadow of a doubt that the two-party system is an illusion and the whole construct is one huge pay-for-play corporate sham. Obamacare was always meant to destroy the private health care system and usher in single-payer, government run socialist medicine. It was designed that way… and it’s “working”. Delivered by The Daily Sheeple 
We encourage you to share and republish our reports, analyses, breaking news and videos ( Click for details ). 
Contributed by Truthstream Media of TruthstreamMedia.com . 
Aaron Dykes and Melissa Melton created Truthstream Media.com as an outlet to examine the news, place it in a broader context, uncover the deceptions, pierce through the fabric of illusions, grasp the underlying factors, know the real enemy, unshackle from the system, and begin to imagine the path towards taking back our lives, one step at a time, so that one day we might truly be free… ",FAKE
4628,"Post-ABC poll finds tight presidential race, with mixed reaction to FBI’s review of Clinton’s emails","Republicans' growing unity behind their presidential nominee, Donald Trump, has helped pull him just 1 percentage point behind Hillary Clinton and has placed GOP leaders who resist him in a vulnerable position, according to the latest Washington Post-ABC News Tracking Poll.

A majority of all likely voters say they are unmoved by the FBI's announcement Friday that it may review additional emails from Clinton's time as secretary of state. Just more than 6 in 10 voters say the news will make no difference in their vote, while just more than 3 in 10 say it makes them less likely to support her; 2 percent say they are more likely to back her as a result.

The issue may do more to reinforce preferences of voters opposed to Clinton than swing undecided voters. Roughly two-thirds of those who say the issue makes them less likely to support Clinton are Republicans or Republican-leaning independents (68 percent), while 17 percent lean Democratic and 9 percent are independents who lean toward neither party.

When asked about House Speaker Paul D. Ryan's decision not to campaign for Trump in the final weeks before the election, two-thirds of Republican-leaning likely voters disapprove of the Wisconsin Republican's move (66 percent), including nearly half who disapprove “strongly” (48 percent). Barely 1 in 5 approve of Ryan's decision (21 percent).

The Post-ABC Tracking Poll continues to find a very tight race, with Clinton at 46 percent and Trump at 45 percent among likely voters in interviews from Tuesday through Friday. The two major-party nominees for president are followed by Libertarian Gary Johnson, at 4 percent, and the Green Party's Jill Stein, at 2 percent. The result is similar to a 47-to-45 Clinton-Trump margin in the previous wave released Saturday, though it is smaller than what was found in other surveys this week. When likely voters are asked to choose between Clinton and Trump alone, Clinton stands at 49 percent, and Trump is at 46 percent, a statistically insignificant margin.

Greater Republican unity has buoyed Trump's rising support, which has wavered throughout the year. Trump's 87 percent support among self-identified Republicans, ticking up from 83 percent last week, nearly matches Clinton's 88 percent support among Democrats. Independents also have moved sharply in Trump's direction, from favoring Clinton by eight points one week ago to backing Trump by 19 points.

Clinton maintains clear edge on qualifications, but not on empathy

Clinton is still widely seen as more qualified for the presidency, leading that measure by an 18-point margin, 54 to 36 percent. She has held a clear advantage over Trump in qualifications throughout the campaign.

But Trump receives more unified backing among those who see him as better qualified. Fully 99 percent of this group supports him, compared with Clinton's 84 percent support among those who see her as better qualified. Seven percent of this group supports Trump, while 4 percent are for Johnson and 2 percent are for Stein.

Clinton also lost a once-large advantage on empathy, a trait on which voters now split 46 percent for her and 43 percent for Trump when asked which candidate understands the problems of people like them. Clinton had led Trump by an eight-point margin on this measure in early September among likely voters and by a 20-point margin among all adults in August.

Clinton has a narrow eight-point edge over Trump on which candidate has stronger moral character, 46 to 38 percent. A sizable 13 percent said that neither candidate possesses this trait. A larger share of Trump supporters than Clinton supporters say that neither candidate has strong moral character (12 percent vs. 2 percent).

Ryan's decision not to campaign for Trump this fall has proved unpopular among his fellow partisans. This comes as Ryan's status as House speaker is in peril because of Republican infighting.

Rejection of Ryan's stance swells to 75 percent among Republicans and GOP-leaning independents who identify as “very conservative” compared with smaller majorities of “somewhat conservative” Republicans (63 percent) and those who are moderate or liberal (56 percent).

Ryan's stand against Trump is being handled differently by several other prominent Republicans. For one, Rep. Rep. Jason Chaffetz (R-Utah) has said that even though he could not endorse Trump or his actions, he still plans to vote for the Republican nominee.

Maryland Gov. Larry Hogan, a popular Republican in an overwhelmingly Democratic state, has spoken out against Trump, a move that was widely popular with independents and Democrats in the state, but Republicans were split on whether they approved of the decision.

This Washington Post-ABC News poll was conducted by telephone Oct. 25 to 28 among a random national sample of 1,781 adults, including landline and cellphone respondents. Overall results have a margin-of-sampling error of plus-or-minus-2.5 points; the error margin is plus-or-minus-three points among the sample of 1,160 likely voters. Sampling, data collection and tabulation are by Abt-SRBI of New York.",REAL
4125,The GOP still has nothing to show for its anti-Planned Parenthood campaign,"At this point Republicans may wish to consider aborting to protect the health of the party.

They have been going after Planned Parenthood over the past few months like so many Captain Ahabs. They threatened to shut down the government to defund the group. Their insistence on a Planned Parenthood showdown drove House Speaker John Boehner to resign. They’re about to appoint a special committee to investigate Planned Parenthood. The party’s presidential candidates have made Planned Parenthood a central part of the campaign, and House Republicans are manufacturing new legislative vehicles to cut off the group.

And what do they have to show for it?

A new Wall Street Journal/NBC News poll finds that Americans have a more favorable view of Planned Parenthood than of any other entity tested, including the Republican Party and presidential candidates. The group’s favorable/unfavorable impression, 47 percent to 31 percent, is actually up slightly from July. What’s more, 61 percent oppose eliminating federal funding of Planned Parenthood. Even among the 35 percent who support defunding, only 9 percent favor shutting down the government to do it.

Yet House Republicans pressed ahead with their quest Tuesday, hauling Planned Parenthood President Cecile Richards before the Oversight and Government Reform Committee for more than five hours of hectoring and finger-wagging about, among other things, her salary and the group’s travel expenses.

The hearing came about because of videos released in July purporting to show that Planned Parenthood was harvesting body parts from aborted fetuses for profit. In their memo announcing the hearing, committee Republicans proclaimed that the “disturbing content” of the recently released videos “raises questions about [Planned Parenthood’s] use of taxpayer funding.” But the videos turned out to be doctored, and committee Republicans declined Democrats’ requests to have the video maker, David Daleiden, appear before the panel. The committee didn’t get the full unedited videos, Chairman Jason Chaffetz (Utah) said, because of California court proceedings.

Two hours into the hearing, Chaffetz made the startling confession that “without the videos, we can’t have a good discussion about them.”

But we can shut down the federal government over them?

Dispensing with the videos, members of the panel got down to the larger purpose of the hearing: harassing Richards and her group.

Chaffetz flashed a chart on the screens showing that since 2010, the number of abortions at Planned Parenthood has surpassed the number of its “cancer screenings and prevention services.”

But no such shift occurred. The fine print on the chart showed that the number of abortions (327,000 in 2013) never came close to reaching the number of cancer screenings (935,573 in 2013) at any point.

The bogus graph didn’t seem to matter to Chaffetz, who drew the witness’s attention to the crossing lines showing abortions overtaking screenings.

Richards said the chart “absolutely does not reflect what’s happening.”

“I pulled those numbers directly out of your corporate reports,” the chairman said.

In fact, the chart said the source was the antiabortion group Americans United for Life — which Richards pointed out to Chaffetz.

“Then we will get to the bottom of the truth of that,” the chairman said.

The truth? Planned Parenthood gets money for women’s birth control, STD screenings and the like, not abortions — which Richards calmly reminded her inquisitors. She left it to Democratic lawmakers to proclaim their (exaggerated) outrage. “The misogyny!” wailed Rep. Gerald Connolly (Va.).

Republicans tried to inoculate themselves against the inevitable “war on women” charges. Chaffetz admitted three Republican women to participate in the hearing (there is only one GOP woman on the panel) and he started his own remarks by emotionally invoking his wife’s work with breast-cancer patients. Rep. Tim Walberg (R-Mich.) thought it helpful to say that “I’m wearing a pink tie in solidarity with women’s health issues.” The majority dodged an awkward moment when Rep. Scott DesJarlais (R-Tenn.), a pro-life lawmaker who, according to court records, encouraged his wife and mistress to have abortions, yielded his time to a colleague.

That colleague, Rep. Paul Gosar (R-Ariz.), told Richards “you’re profiting off death.” Likewise, Rep. John Mica (R-Fla.) proclaimed himself a “champion for the unborn,” while Walberg said “we’ve been brought into a frenzy and a concern about what happens to our babies,” and Rep. Ron DeSantis (R-Fla.) asked what happens if “a child survives an abortion attempt.”

This would appear to justify Richards’s contention that the controversy “isn’t about Planned Parenthood. It’s about allowing women in this country . . . to make other decisions about their pregnancies.”

As if to confirm Richards’s suspicion, 28 minutes after the hearing ended, lawmakers went to the House floor to vote on legislation restricting abortion — for the 14th time this year.

Read more from Dana Milbank’s archive, follow him on Twitter or subscribe to his updates on Facebook.",REAL
